track_id,lyrics,tags
1,"city lights and midnight drives keep us awake forever","pop|dance|electronic"
2,"broken hearts and neon tears under rainy skies","pop|sad|indie"
3,"dusty roads and old guitars sing about home","country|folk"
4,"thunder drums and fire riffs shaking every wall","rock|metal|energetic"
5,"slow piano whispers in an empty room tonight","sad|acoustic|ballad"
6,"sunrise rhythm on the beach we move together","dance|pop|happy"
7,"poets in the subway writing love in smoke","indie|alternative|melancholic"
8,"heavy bass and strobe lights calling out my name","electronic|dance|party"
9,"church bells and southern wind carry my prayer","country|folk|acoustic"
10,"we scream the chorus till the speakers break","rock|energetic|party"
11,"quiet rain and coffee cups by the window","acoustic|indie|sad"
12,"golden highway dream with radio static","rock|alternative|indie"
13,"fractured memories on a cold november night","sad|melancholic|indie"
14,"boots in the mud and stars above the field","country|folk|happy"
15,"laser hearts and mirrored floors in motion","dance|electronic|party"
16,"my old cassette plays songs from summer","pop|happy|indie"
17,"lone violin echoes in the empty station","acoustic|melancholic|sad"
18,"double kick and distorted walls of sound","metal|rock|energetic"
19,"we found hope in a cheap motel hymn","folk|indie|acoustic"
20,"tonight the skyline sings in silver noise","electronic|pop|party"
21,"hands up we chase the dawn in crowded streets","dance|party|happy"
22,"letters never sent are buried in these lines","sad|indie|acoustic"
23,"tractor trails and open plains in morning light","country|folk|happy"
24,"fading posters and garage amps hum alive","rock|alternative|energetic"
